Child,Parent
14,11
13,14
17,18
22,19
21,22
25,26
25,19
24,25
27,26
27,24
24,27
28,26
32,33
32,34
31,32
30,31
30,35
30,36
29,30
28,29
24,28
37,26
41,42
41,34
40,41
39,40
39,43
39,44
38,39
37,38
24,37
23,24
21,23
45,29
21,45
46,38
21,46
47,31
49,35
48,49
47,48
21,47
20,21
20,50
56,53
55,56
59,60
59,19
58,59
61,60
61,24
58,61
62,60
62,29
58,62
63,60
63,38
58,63
57,58
65,66
64,65
57,64
55,57
54,55
54,67
54,51
53,54
52,53
52,67
51,52
68,24
68,50
51,68
69,11
69,70
51,69
71,53
71,67
51,71
72,19
72,50
51,72
73,11
73,70
51,73
20,51
19,20
17,19
16,17
74,18
74,24
16,74
75,18
75,29
16,75
76,18
76,38
16,76
15,16
78,79
77,78
15,77
13,15
12,13
12,70
12,51
11,12
10,11
10,80
10,81
10,11
10,82
9,10
8,9
8,83
7,8
6,7
6,84
5,6
4,5
94,53
94,95
94,96
94,97
93,94
92,93
92,96
91,92
90,91
90,98
89,90
88,89
88,5
88,99
87,88
86,87
101,102
104,53
104,105
103,104
101,103
101,5
100,101
86,100
86,106
108,109
108,89
108,99
108,103
108,5
107,108
86,107
86,110
85,86
4,85
4,111
3,4
2,3
2,110
1,2
